Groningen Municipality level migration,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
,Oldambt,14,15,115,7,41,3,284,3,10,44,4,6,6,4,37,,,128,24,46,102,38,,9,4
,Pekela,1,0,26,2,4,3,79,1,5,18,0,0,0,4,19,,153,,4,43,65,26,,5,6
,Slochteren,28,7,2,6,36,2,174,0,12,89,5,8,0,0,17,,31,1,,4,11,1,,4,4
,Stadskanaal,0,7,29,2,15,6,172,1,5,25,6,1,2,0,7,,68,45,9,,57,103,,2,4
,Veendam,2,5,18,1,22,3,217,3,7,76,9,5,1,0,99,,83,53,9,55,,17,,0,10
,Vlagtwedde,1,2,21,4,5,0,97,0,3,2,3,1,0,0,1,,46,15,0,92,10,,,0,0
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,
,Winsum,5,16,0,6,3,29,203,6,9,6,2,10,50,0,6,,7,0,2,1,3,0,,,14
,Zuidhorn,2,6,2,2,4,4,270,75,12,4,31,1,17,11,2,,3,0,4,1,10,0,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
regio van aankomst,Appingedam,,3,0,14,184,7,106,0,3,10,2,39,0,0,7,,9,0,31,1,6,2,,3,1
,Bedum,2,,2,24,4,20,190,5,2,10,1,19,10,0,1,,1,3,13,5,11,4,,25,19
,Bellingwedde,2,0,,0,9,1,60,1,1,4,0,0,0,0,5,,119,46,5,32,19,30,,0,0
,Ten Boer,6,9,1,,7,7,135,0,8,3,3,33,13,4,1,,0,1,6,1,0,0,,7,11
,Delfzijl,229,11,13,18,,32,291,2,15,46,9,42,11,6,13,,80,9,29,12,40,16,,9,14
,Eemsmond,10,9,9,2,45,,146,3,6,10,3,42,20,5,0,,10,1,8,5,1,0,,38,9
,Groningen,71,182,45,135,153,80,,59,630,342,257,121,78,65,72,,188,34,232,92,157,49,,170,289
,Grootegast,1,7,6,0,0,0,90,,3,4,30,0,5,50,0,,4,0,0,6,0,3,,0,66
,Haren,0,2,3,0,9,1,478,1,,15,13,2,1,1,6,,3,1,10,5,5,5,,5,5
,Hoogezand-Sappemeer,15,3,8,1,23,2,342,0,21,,16,5,1,4,69,,60,20,71,6,69,3,,6,7
,Leek,2,2,3,1,12,3,271,54,8,19,,3,5,99,4,,7,0,2,1,3,1,,2,38
,Loppersum,66,15,0,19,26,43,137,0,4,5,3,,5,0,2,,8,1,7,3,0,3,,6,4
,De Marne,5,14,0,1,4,29,111,2,3,7,3,6,,1,0,,4,1,2,1,1,0,,73,21
,Marum,3,0,0,0,0,1,95,60,3,3,84,0,1,,0,,3,0,0,2,2,1,,0,14
,Menterwolde,4,2,11,7,7,0,102,0,1,44,5,0,1,1,,,45,12,27,5,131,4,,3,5
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldambt,17,2,113,1,53,7,253,3,8,52,15,10,6,2,25,,,123,22,50,82,34,,10,4
,Pekela,4,7,60,0,15,0,92,0,1,16,3,1,13,1,13,,181,,2,62,63,21,,0,2
,Slochteren,21,6,2,13,22,4,187,3,14,109,1,6,2,0,24,,19,4,,2,17,1,,0,7
,Stadskanaal,1,2,13,1,12,3,211,1,11,28,6,0,3,5,15,,38,82,3,,63,109,,6,3
,Veendam,5,3,19,1,24,1,226,3,12,59,4,3,5,1,132,,65,73,16,53,,7,,1,1
,Vlagtwedde,1,1,39,0,12,0,83,1,9,7,0,1,1,2,3,,29,30,0,103,21,,,4,4
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,
,Winsum,1,28,1,4,2,29,203,0,7,6,7,7,62,0,2,,11,0,0,2,1,2,,,12
,Zuidhorn,3,7,0,2,0,5,317,70,12,16,42,2,2,7,3,,8,0,0,1,11,3,,24,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Appingedam,Bedum,Bellingwedde,Ten Boer,Delfzijl,Eemsmond,Groningen,Grootegast,Haren,Hoogezand-Sappemeer,Leek,Loppersum,De Marne,Marum,Menterwolde,Midden-Groningen,Oldambt,Pekela,Slochteren,Stadskanaal,Veendam,Vlagtwedde,Westerwolde,Winsum,Zuidhorn
regio van aankomst,Appingedam,,8,4,9,198,9,114,0,2,18,0,25,1,0,6,,12,5,29,1,6,0,,4,1
,Bedum,2,,3,11,3,21,201,0,15,10,5,23,11,0,1,,4,0,16,5,3,0,,24,17
,Bellingwedde,1,2,,0,12,0,59,3,2,8,4,0,0,0,10,,144,25,9,26,18,34,,1,0
,Ten Boer,12,14,0,,2,6,158,1,10,7,0,22,5,2,5,,2,0,15,2,0,0,,1,15
,Delfzijl,251,13,12,13,,34,308,11,18,33,12,17,8,5,27,,72,19,43,12,34,14,,11,21
,Eemsmond,17,28,1,9,23,,159,0,7,14,3,65,16,1,4,,4,0,3,0,9,5,,30,6
,Groningen,58,200,51,136,150,109,,62,664,370,323,93,71,76,68,,193,33,338,106,170,38,,154,360
,Grootegast,1,0,1,1,2,6,105,,0,5,36,3,3,62,0,,1,1,5,0,1,0,,3,69
,Haren,1,3,9,12,5,9,544,7,,51,7,7,12,7,21,,25,1,27,5,6,4,,5,11
,Hoogezand-Sappemeer,19,11,11,3,20,8,365,5,24,,24,8,4,1,57,,62,5,106,24,90,4,,4,4
,Leek,9,9,1,0,2,3,283,41,7,11,,6,8,66,2,,4,0,2,4,3,1,,1,38
,Loppersum,44,17,2,14,45,76,116,7,5,12,6,,6,4,9,,14,0,11,0,5,1,,9,3
,De Marne,0,13,0,6,9,34,96,8,5,5,12,5,,4,1,,5,1,3,0,1,1,,63,19
,Marum,0,0,0,0,0,6,104,65,0,1,73,1,0,,0,,0,0,1,0,2,0,,1,7
,Menterwolde,10,1,6,0,22,5,74,2,6,66,3,2,0,2,,,48,18,21,13,138,5,,3,5
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldambt,15,0,99,1,65,9,284,3,21,53,11,9,1,3,63,,,175,13,36,105,26,,3,14
,Pekela,2,0,28,1,14,3,58,2,2,14,2,0,1,0,18,,167,,3,55,62,22,,1,2
,Slochteren,38,4,1,16,39,8,183,3,24,116,10,5,4,0,24,,34,7,,4,10,2,,0,7
,Stadskanaal,1,2,19,0,8,3,211,4,4,21,10,1,0,0,6,,51,43,3,,41,94,,3,3
,Veendam,8,1,16,2,31,3,213,0,8,62,8,4,8,2,147,,80,53,6,57,,10,,3,2
,Vlagtwedde,1,0,107,0,97,2,87,0,84,4,1,1,3,0,2,,40,100,5,282,10,,,0,0
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,
,Winsum,2,53,0,2,2,32,207,3,8,8,8,10,76,0,0,,3,1,4,2,0,3,,,21
,Zuidhorn,2,10,3,10,3,4,271,66,6,14,53,7,20,11,3,,9,6,8,1,1,1,,19,
