from,to,Migration,year,gemeente fromnaamvolledig,provincie from
Tytsjerksteradiel,Achtkarspelen,63,2011,Tytsjerksteradiel,Friesland
Veendam,Achtkarspelen,3,2011,Veendam,Groningen
Vlagtwedde,Achtkarspelen,0,2011,Vlagtwedde,Groningen
Vlieland,Achtkarspelen,1,2011,Vlieland,Friesland
Waadhoeke,Achtkarspelen,NA,2011,Waadhoeke,Friesland
Westerveld,Achtkarspelen,1,2011,Westerveld,Drenthe
Westerwolde,Achtkarspelen,NA,2011,Westerwolde,Groningen
Weststellingwerf,Achtkarspelen,7,2011,Weststellingwerf,Friesland
Winsum,Achtkarspelen,2,2011,Winsum,Groningen
De.Wolden,Achtkarspelen,0,2011,De Wolden,Drenthe
Zuidhorn,Achtkarspelen,5,2011,Zuidhorn,Groningen
Aa.en.Hunze,Ameland,0,2011,Aa en Hunze,Drenthe
Achtkarspelen,Ameland,1,2011,Achtkarspelen,Friesland
Ameland,Ameland,NA,2011,Ameland,Friesland
Appingedam,Ameland,0,2011,Appingedam,Groningen
Assen,Ameland,0,2011,Assen,Drenthe
Bedum,Ameland,2,2011,Bedum,Groningen
Bellingwedde,Ameland,0,2011,Bellingwedde,Groningen
het.Bildt,Ameland,0,2011,het Bildt,Friesland
Boarnsterhim,Ameland,2,2011,Boarnsterhim,Friesland
Ten.Boer,Ameland,0,2011,Ten Boer,Groningen
Borger.Odoorn,Ameland,4,2011,Borger Odoorn,Drenthe
Coevorden,Ameland,1,2011,Coevorden,Drenthe
Dantumadiel,Ameland,2,2011,Dantumadiel,Friesland
Delfzijl,Ameland,6,2011,Delfzijl,Groningen
Dongeradeel,Ameland,5,2011,Dongeradeel,Friesland
Eemsmond,Ameland,3,2011,Eemsmond,Groningen
Emmen,Ameland,1,2011,Emmen,Drenthe
Ferwerderadiel,Ameland,0,2011,Ferwerderadiel,Friesland
Franekeradeel,Ameland,1,2011,Franekeradeel,Friesland
De.Friese.Meren,Ameland,NA,2011,De Friese Meren,Friesland
De.Fryske.Marren,Ameland,NA,2011,De Fryske Marren,Friesland
Gaasterlân.Sleat,Ameland,0,2011,Gaasterlân Sleat,Friesland
Groningen,Ameland,11,2011,Groningen,Groningen
Grootegast,Ameland,2,2011,Grootegast,Groningen
Haren,Ameland,0,2011,Haren,Groningen
Harlingen,Ameland,2,2011,Harlingen,Friesland
Heerenveen,Ameland,2,2011,Heerenveen,Friesland
Hoogeveen,Ameland,0,2011,Hoogeveen,Drenthe
Hoogezand.Sappemeer,Ameland,2,2011,Hoogezand Sappemeer,Groningen
Kollumerland.en.Nieuwkruisland,Ameland,0,2011,Kollumerland en Nieuwkruisland,Friesland
Leek,Ameland,1,2011,Leek,Groningen
Leeuwarden,Ameland,43,2011,Leeuwarden,Friesland
Leeuwarderadeel,Ameland,4,2011,Leeuwarderadeel,Friesland
Lemsterland,Ameland,0,2011,Lemsterland,Friesland
Littenseradiel,Ameland,0,2011,Littenseradiel,Friesland
Loppersum,Ameland,1,2011,Loppersum,Groningen
De.Marne,Ameland,1,2011,De Marne,Groningen
Marum,Ameland,0,2011,Marum,Groningen
Menameradiel,Ameland,0,2011,Menameradiel,Friesland
Menterwolde,Ameland,1,2011,Menterwolde,Groningen
Meppel,Ameland,0,2011,Meppel,Drenthe
Midden.Drenthe,Ameland,0,2011,Midden Drenthe,Drenthe
Midden.Groningen,Ameland,NA,2011,Midden Groningen,Groningen
Noordenveld,Ameland,1,2011,Noordenveld,Drenthe
Oldambt,Ameland,1,2011,Oldambt,Groningen
Ooststellingwerf,Ameland,2,2011,Ooststellingwerf,Friesland
Opsterland,Ameland,1,2011,Opsterland,Friesland
Pekela,Ameland,0,2011,Pekela,Groningen
Schiermonnikoog,Ameland,0,2011,Schiermonnikoog,Friesland
Skarsterlân,Ameland,1,2011,Skarsterlân,Friesland
Slochteren,Ameland,0,2011,Slochteren,Groningen
Smallingerland,Ameland,1,2011,Smallingerland,Friesland
Stadskanaal,Ameland,0,2011,Stadskanaal,Groningen
Súdwest.Fryslân,Ameland,3,2011,Súdwest Fryslân,Friesland
Terschelling,Ameland,0,2011,Terschelling,Friesland
Tynaarlo,Ameland,1,2011,Tynaarlo,Drenthe
Tytsjerksteradiel,Ameland,1,2011,Tytsjerksteradiel,Friesland
Veendam,Ameland,0,2011,Veendam,Groningen
Vlagtwedde,Ameland,0,2011,Vlagtwedde,Groningen
Vlieland,Ameland,0,2011,Vlieland,Friesland
Waadhoeke,Ameland,NA,2011,Waadhoeke,Friesland
Westerveld,Ameland,0,2011,Westerveld,Drenthe
Westerwolde,Ameland,NA,2011,Westerwolde,Groningen
Weststellingwerf,Ameland,0,2011,Weststellingwerf,Friesland
Winsum,Ameland,1,2011,Winsum,Groningen
De.Wolden,Ameland,0,2011,De Wolden,Drenthe
Zuidhorn,Ameland,0,2011,Zuidhorn,Groningen
Aa.en.Hunze,Appingedam,3,2011,Aa en Hunze,Drenthe
Achtkarspelen,Appingedam,0,2011,Achtkarspelen,Friesland
Ameland,Appingedam,1,2011,Ameland,Friesland
Appingedam,Appingedam,NA,2011,Appingedam,Groningen
Assen,Appingedam,10,2011,Assen,Drenthe
Bedum,Appingedam,3,2011,Bedum,Groningen
Bellingwedde,Appingedam,3,2011,Bellingwedde,Groningen
het.Bildt,Appingedam,0,2011,het Bildt,Friesland
Boarnsterhim,Appingedam,0,2011,Boarnsterhim,Friesland
Ten.Boer,Appingedam,17,2011,Ten Boer,Groningen
Borger.Odoorn,Appingedam,1,2011,Borger Odoorn,Drenthe
Coevorden,Appingedam,1,2011,Coevorden,Drenthe
Dantumadiel,Appingedam,0,2011,Dantumadiel,Friesland
Delfzijl,Appingedam,238,2011,Delfzijl,Groningen
Dongeradeel,Appingedam,0,2011,Dongeradeel,Friesland
Eemsmond,Appingedam,15,2011,Eemsmond,Groningen
Emmen,Appingedam,5,2011,Emmen,Drenthe
Ferwerderadiel,Appingedam,0,2011,Ferwerderadiel,Friesland
Franekeradeel,Appingedam,0,2011,Franekeradeel,Friesland
