https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,Leeuwarden,10,56,42,13,46,6,3,68,187,2,5,9,64,10,81,5,45,47,151,,,8,399,9,19,73,132,16,18,35,17,,176,19,44,1,5,5,133,1,30,19,,28,14,40,78,7,1,42,3,200,10,265,34,35,268,7,13,14,,16,,52,2,7,22
,Leeuwarderadeel,1,2,4,0,0,0,0,18,5,0,0,0,0,0,1,0,0,26,14,,,1,30,0,0,6,5,0,0,1,0,227,,2,4,0,0,0,3,0,2,0,,0,0,2,0,0,0,0,0,10,0,11,2,7,12,1,0,2,,1,,2,0,0,5
,Lemsterland,1,0,0,0,3,0,1,1,9,0,0,4,0,0,0,0,1,4,2,,,31,49,0,0,1,50,1,0,0,0,22,0,,2,0,0,1,0,0,3,0,,0,0,1,5,0,0,36,0,5,0,35,1,1,0,0,0,0,,1,,10,0,0,0
,Littenseradiel,0,0,0,0,0,0,0,5,13,0,0,0,4,0,3,0,0,0,24,,,1,41,0,0,4,6,1,1,5,1,55,3,2,,0,0,0,12,0,0,1,,0,0,4,1,0,0,8,0,2,0,113,2,0,8,1,1,1,,0,,1,0,0,0
,Loppersum,2,0,0,30,4,29,0,0,0,21,0,0,0,52,0,32,3,1,0,,,0,115,0,4,1,0,2,5,0,3,4,0,0,1,,6,7,1,0,0,5,,2,12,2,0,2,0,0,11,1,2,1,0,8,0,4,0,0,,0,,1,13,0,1
,De Marne,7,3,0,0,11,21,1,1,1,1,2,1,0,2,5,24,1,0,1,,,0,105,3,5,8,2,1,10,2,9,7,0,0,0,3,,1,0,2,0,16,,0,5,0,1,0,2,0,6,2,0,0,1,3,0,0,0,0,,0,,0,93,0,6
,Marum,3,12,0,1,4,1,6,0,0,0,9,0,0,1,1,0,2,0,0,,,0,83,29,5,0,0,4,3,2,81,9,0,0,0,1,0,,0,0,0,3,,23,6,11,13,1,0,1,0,26,0,2,1,5,0,1,1,0,,2,,1,4,1,12
,Menameradiel,0,9,2,0,0,0,0,34,12,0,0,0,0,0,2,0,0,5,37,,,0,30,3,0,12,8,0,1,1,0,173,18,0,22,0,0,3,,0,0,2,,7,0,2,7,0,0,6,0,9,0,23,3,2,16,0,0,0,,1,,1,0,0,0
,Menterwolde,6,0,1,4,9,1,6,0,2,1,3,1,0,5,0,1,11,0,0,,,0,55,0,3,0,0,2,55,0,5,4,0,2,0,1,1,1,0,,2,5,,4,55,0,1,20,0,0,18,3,10,0,1,12,0,125,2,0,,5,,2,0,0,6
,Meppel,3,0,2,0,16,0,0,0,1,0,2,0,0,0,0,0,20,0,2,,,0,93,0,0,1,4,38,3,2,1,29,2,2,0,0,2,0,2,0,,7,,5,0,6,1,0,0,3,0,2,2,4,0,3,0,2,1,0,,54,,16,0,107,0
,Midden-Drenthe,16,1,0,1,263,0,4,0,6,0,16,38,0,1,1,2,39,0,0,,,1,173,1,4,0,5,87,5,2,7,17,0,0,1,2,2,1,0,0,13,,,19,5,35,1,0,0,4,3,6,5,1,0,12,0,2,5,0,,22,,5,9,27,4
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noordenveld,18,2,1,1,78,5,0,1,0,4,4,5,2,0,2,4,16,0,3,,,0,360,8,18,0,6,4,10,3,68,34,0,1,0,1,3,12,0,1,2,26,,,8,20,8,0,0,1,3,9,9,4,2,62,2,6,2,1,,5,,2,2,1,13
,Oldambt,20,0,1,14,31,15,115,0,3,7,10,5,1,41,0,3,31,1,0,,,1,284,3,10,0,2,3,44,1,4,21,0,0,0,6,6,4,1,37,2,11,,10,,1,5,128,1,0,24,7,46,2,3,16,4,102,38,0,,0,,0,9,3,4
,Ooststellingwerf,4,16,3,0,56,2,0,0,4,1,5,14,3,1,6,0,5,1,9,,,0,135,1,4,2,40,2,0,0,13,54,1,1,2,0,0,8,5,0,6,42,,21,1,,58,0,0,6,2,66,0,17,4,4,9,5,2,0,,21,,50,1,7,3
,Opsterland,2,15,1,0,4,0,0,2,17,0,0,0,5,1,4,2,1,4,7,,,9,125,10,1,1,157,3,3,7,8,68,4,1,1,3,1,9,10,0,1,0,,10,4,60,,0,0,42,1,238,9,23,3,5,14,2,1,3,,8,,18,0,0,2
,Pekela,10,0,0,1,4,0,26,0,3,2,11,13,0,4,1,3,19,0,2,,,1,79,1,5,2,0,3,18,0,0,4,0,2,0,0,0,4,7,19,4,3,,1,153,5,0,,0,1,4,0,43,8,0,8,3,65,26,1,,0,,0,5,1,6
,Schiermonnikoog,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,,,1,20,1,2,4,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,,0,,0,4,0,1
,Skarsterlân,0,0,1,0,2,0,1,2,30,5,0,1,2,0,3,1,5,3,11,,,18,122,0,1,2,181,0,0,2,0,50,1,22,5,0,0,0,1,0,1,4,,5,1,3,28,0,0,,0,21,1,90,2,1,7,0,0,0,,2,,14,0,3,0
,Slochteren,7,2,1,28,7,7,2,0,2,6,3,1,1,36,0,2,4,0,0,,,0,174,0,12,0,2,2,89,0,5,7,0,0,0,8,0,0,0,17,1,6,,9,31,0,1,1,1,0,,2,4,1,1,14,0,11,1,0,,3,,0,4,0,4
,Smallingerland,2,91,2,0,16,5,0,15,24,3,15,4,25,2,26,3,10,6,7,,,3,309,26,10,18,76,5,5,12,20,227,10,5,4,4,9,20,8,2,14,8,,15,6,63,250,0,2,22,4,,1,42,4,14,107,5,14,2,,6,,18,0,9,4
,Stadskanaal,43,0,0,0,24,7,29,0,4,2,182,12,7,15,5,6,89,0,1,,,0,172,1,5,2,5,30,25,0,6,14,1,2,0,1,2,0,0,7,3,13,,4,68,1,0,45,0,0,9,1,,2,0,12,7,57,103,0,,3,,3,2,3,4
,Súdwest-Fryslân,3,4,0,0,14,0,0,5,60,2,2,4,11,0,19,0,11,9,59,,,75,273,1,3,81,78,3,6,4,4,274,6,40,70,0,1,2,8,1,4,4,,4,11,5,25,4,0,84,1,77,2,,19,4,37,3,0,7,,3,,20,0,1,0
,Terschelling,5,0,0,0,2,0,0,1,3,0,2,1,1,2,3,2,3,0,8,,,1,18,0,1,33,3,1,1,6,0,34,1,1,2,0,0,0,3,0,0,1,,6,4,2,0,0,0,1,1,9,3,12,,3,3,0,2,1,,0,,0,0,1,0
,Tynaarlo,80,1,0,0,100,0,2,1,2,1,12,5,1,7,0,6,36,0,5,,,0,563,3,76,1,3,11,44,0,10,30,1,1,0,6,3,8,0,2,1,10,,61,21,8,5,6,0,2,5,7,8,4,0,,3,18,4,0,,8,,1,2,3,2
,Tytsjerksteradiel,1,71,1,2,1,0,0,17,18,0,1,4,76,2,22,0,1,11,12,,,3,69,7,2,6,17,0,0,14,12,314,13,0,4,4,0,4,8,0,2,0,,4,5,15,26,0,0,6,0,137,6,55,4,1,,2,5,2,,1,,5,0,0,3
,Veendam,33,0,1,2,37,5,18,1,1,1,11,5,0,22,0,3,23,0,1,,,0,217,3,7,0,0,8,76,1,9,18,1,0,0,5,1,0,0,99,0,5,,4,83,6,0,53,0,3,9,2,55,9,0,21,0,,17,0,,0,,1,0,1,10
,Vlagtwedde,10,0,0,1,11,2,21,0,1,4,43,10,0,5,2,0,101,0,1,,,0,97,0,3,1,5,14,2,0,3,12,0,0,0,1,0,0,0,1,0,5,,34,46,0,2,15,0,0,0,5,92,2,0,11,7,10,,0,,5,,2,0,2,0
,Vlieland,4,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,5,,,0,7,0,2,7,4,0,0,0,1,25,1,1,1,0,2,0,1,0,0,0,,1,0,0,2,0,0,0,0,6,0,6,1,0,1,0,0,,,0,,0,0,0,0
,Waadhoeke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westerveld,7,3,0,0,23,0,0,0,2,0,6,5,0,0,1,0,22,0,1,,,6,75,0,0,4,13,25,4,1,0,15,1,0,0,0,0,0,1,1,72,31,,7,3,19,2,0,0,4,0,5,2,5,1,1,2,1,2,0,,,,19,0,35,0
,Westerwolde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weststellingwerf,1,6,1,2,9,0,0,1,8,0,1,1,0,0,4,0,7,2,1,,,1,64,1,1,6,96,2,0,1,0,54,0,9,3,0,0,0,6,0,19,1,,0,2,34,15,0,0,12,1,19,1,14,2,0,8,0,0,0,,37,,,0,3,1
,Winsum,6,5,1,5,6,16,0,1,0,6,3,1,1,3,0,29,4,0,2,,,1,203,6,9,1,0,1,6,0,2,10,0,0,0,10,50,0,0,6,0,6,,4,7,1,0,0,2,0,2,5,1,1,1,19,1,3,0,0,,6,,0,,0,14
,De Wolden,2,1,0,0,19,0,0,0,0,1,2,10,0,1,0,0,18,1,0,,,0,75,0,0,1,2,148,0,0,1,6,0,0,0,0,1,0,0,1,134,34,,7,0,7,0,0,1,0,0,1,1,1,4,2,1,0,0,0,,56,,6,0,,0
,Zuidhorn,4,8,1,2,20,6,2,0,6,2,4,3,0,4,1,4,2,0,0,,,2,270,75,12,0,0,1,4,5,31,8,3,0,0,1,17,11,0,2,1,4,,18,3,4,0,0,2,0,4,7,1,0,0,7,3,10,0,1,,4,,0,6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
regio van aankomst,Aa en Hunze,,0,0,1,155,0,2,0,,1,73,13,1,1,0,2,40,0,2,0,,,226,2,17,0,0,20,25,0,1,10,0,,2,0,6,4,0,11,7,16,,9,23,4,1,12,0,,6,6,69,2,0,77,1,56,5,0,,4,,0,2,2,3
,Achtkarspelen,0,,0,1,4,1,0,1,,0,0,5,41,0,18,2,2,2,0,4,,,78,40,0,6,25,1,1,79,6,61,4,,1,1,4,6,0,0,3,0,,7,3,10,19,0,0,,1,145,1,7,5,5,77,2,0,1,,0,,5,0,0,2
,Ameland,0,0,,0,5,1,0,2,,0,0,0,4,0,9,0,1,2,1,0,,,7,3,1,2,2,1,0,3,0,58,0,,2,0,0,0,0,0,0,2,,0,0,0,0,0,2,,0,1,0,5,0,1,3,0,0,0,,0,,2,1,0,0
,Appingedam,3,0,0,,6,3,0,0,,14,4,3,0,184,0,7,0,0,1,0,,,106,0,3,2,1,3,10,0,2,8,0,,0,39,0,0,0,7,0,6,,6,9,0,0,0,0,,31,2,1,3,0,4,0,6,2,0,,0,,0,3,0,1
,Assen,142,2,1,2,,6,7,1,,6,35,21,0,13,2,8,91,0,1,5,,,540,5,19,3,17,74,31,0,21,36,0,,0,5,11,7,0,4,25,244,,96,18,65,3,5,1,,7,16,30,6,2,102,7,33,12,2,,27,,7,5,24,9
,Bedum,6,1,0,2,12,,2,0,,24,0,0,0,4,2,20,3,0,0,0,,,190,5,2,0,1,1,10,0,1,3,0,,1,19,10,0,0,1,0,6,,3,1,2,1,3,1,,13,1,5,6,0,5,0,11,4,1,,0,,1,25,1,19
,Bellingwedde,1,2,0,2,6,0,,3,,0,7,0,8,9,0,1,12,0,0,2,,,60,1,1,0,0,3,4,7,0,10,0,,0,0,0,0,0,5,0,1,,5,119,0,0,46,0,,5,0,32,0,0,0,1,19,30,0,,1,,0,0,0,0
,het Bildt,0,3,0,0,0,2,0,,,0,0,0,1,0,9,0,0,12,42,4,,,20,0,1,10,10,0,0,11,0,135,40,,9,0,1,1,49,0,1,2,,2,5,6,0,0,0,,0,7,0,36,3,0,17,0,0,1,,0,,2,1,0,0
,Boarnsterhim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ten Boer,2,1,1,6,6,9,1,0,,,0,0,0,7,0,7,0,0,0,2,,,135,0,8,0,0,4,3,2,3,1,0,,0,33,13,4,0,1,1,1,,4,0,1,0,1,0,,6,1,1,0,0,0,0,0,0,0,,2,,0,7,1,11
,Borger-Odoorn,42,2,1,1,32,2,13,0,,0,,51,0,5,0,4,196,0,1,0,,,177,0,4,1,0,8,6,0,4,12,0,,0,1,2,7,0,3,3,11,,5,5,3,2,7,0,,2,6,225,1,0,7,2,16,25,0,,2,,0,1,10,4
,Coevorden,10,12,0,0,29,2,0,0,,0,38,,3,4,1,2,366,0,1,2,,,122,1,3,0,6,124,3,6,0,13,0,,0,0,0,0,0,1,8,34,,6,9,2,4,3,0,,2,7,5,5,0,4,13,2,16,0,,7,,7,2,20,0
,Dantumadiel,4,32,2,0,0,0,0,2,,0,0,0,,1,102,0,1,12,7,4,,,36,3,1,2,4,4,0,54,1,76,9,,2,0,0,0,2,0,0,3,,0,0,3,7,0,1,,0,24,0,5,2,2,82,1,0,1,,0,,1,0,0,1
,Delfzijl,10,3,1,229,27,11,13,1,,18,0,2,0,,0,32,14,4,2,9,,,291,2,15,7,11,2,46,6,9,18,1,,3,42,11,6,6,13,1,10,,10,80,1,2,9,0,,29,2,12,29,1,7,1,40,16,0,,6,,1,9,2,14
,Dongeradeel,0,19,7,0,3,4,0,4,,0,6,0,139,1,,6,7,39,6,4,,,68,1,1,5,7,2,4,45,0,102,5,,2,0,10,1,0,0,1,2,,3,7,4,19,0,1,,0,37,3,21,2,0,45,0,0,0,,0,,1,0,1,5
,Eemsmond,2,0,1,10,7,9,9,0,,2,3,0,0,45,1,,3,2,2,0,,,146,3,6,0,1,1,10,0,3,7,0,,0,42,20,5,0,0,3,2,,5,10,0,0,1,3,,8,7,5,5,0,6,2,1,0,0,,0,,0,38,0,9
,Emmen,46,5,1,5,74,3,3,0,,1,163,311,0,6,7,2,,0,4,7,,,432,2,4,1,11,75,14,2,6,53,0,,2,4,2,2,3,7,15,23,,19,15,12,3,6,0,,2,8,36,23,3,21,5,21,103,1,,11,,9,1,13,6
,Ferwerderadiel,0,2,2,0,0,0,0,18,,0,0,0,10,2,44,0,0,,5,3,,,18,0,0,3,11,0,0,0,0,81,30,,6,0,0,1,11,0,0,0,,1,0,0,6,0,2,,0,14,0,9,0,1,21,0,0,0,,0,,4,0,0,0
,Franekeradeel,1,3,1,0,6,0,0,40,,0,1,1,10,0,4,1,8,7,,13,,,49,0,0,86,21,3,9,2,0,161,9,,24,0,0,0,45,0,0,0,,3,0,7,5,0,0,,0,25,0,61,4,7,18,2,0,3,,3,,4,0,0,0
,De Friese Meren,6,5,0,0,4,0,0,3,,0,1,0,3,0,2,0,11,3,16,,,,196,0,8,12,256,3,5,3,1,146,1,,2,3,0,0,2,0,3,3,,4,2,21,37,0,0,,0,32,0,245,6,7,10,1,2,4,,3,,46,1,1,4
,De Fryske Marren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gaasterlân-Sleat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Groningen,202,42,5,71,451,182,45,9,,135,95,77,26,153,53,80,256,13,37,106,,,,59,630,31,162,120,342,25,257,349,28,,29,121,78,65,25,72,88,117,,365,188,81,90,34,12,,232,203,92,180,14,713,47,157,49,8,,54,,27,170,52,289
,Grootegast,0,44,1,1,11,7,6,0,,0,3,0,1,0,4,0,2,0,3,0,,,90,,3,0,7,0,4,4,30,14,0,,0,0,5,50,1,0,1,2,,18,4,8,9,0,0,,0,30,6,2,0,5,3,0,3,0,,0,,0,0,1,66
,Haren,10,1,0,0,40,2,3,0,,0,0,2,0,9,0,1,5,0,3,2,,,478,1,,1,2,4,15,0,13,11,1,,0,2,1,1,2,6,0,2,,19,3,4,1,1,0,,10,3,5,1,3,104,2,5,5,0,,2,,0,5,2,5
,Harlingen,0,5,1,1,0,0,0,16,,0,0,0,3,0,6,3,1,3,65,7,,,40,0,0,,8,0,1,2,1,95,2,,5,0,2,0,10,0,0,0,,1,0,5,2,0,0,,0,9,2,62,16,2,9,0,1,9,,1,,3,0,0,2
,Heerenveen,2,18,1,0,13,1,0,0,,0,0,4,4,0,5,1,7,4,17,208,,,205,4,0,9,,9,2,4,5,217,6,,6,1,1,0,10,0,14,1,,5,0,58,173,0,0,,1,80,0,97,5,6,26,1,1,3,,20,,121,2,2,2
,Hoogeveen,11,2,1,1,44,0,0,2,,2,16,81,3,1,4,1,82,3,1,3,,,180,0,8,2,4,,7,0,0,26,0,,0,0,1,1,2,3,42,85,,11,7,8,5,1,0,,1,6,11,13,2,10,0,5,3,0,,34,,9,0,185,0
,Hoogezand-Sappemeer,10,0,0,15,30,3,8,3,,1,16,4,0,23,0,2,11,0,1,7,,,342,0,21,0,2,3,,0,16,26,0,,1,5,1,4,0,69,0,7,,15,60,1,9,20,0,,71,13,6,1,0,39,0,69,3,0,,0,,0,6,1,7
,Kollumerland en Nieuwkruisland,0,68,1,2,0,0,0,3,,1,0,3,86,0,48,0,0,7,5,5,,,39,2,6,0,2,0,2,,2,55,1,,1,2,4,2,4,0,0,0,,1,0,1,2,3,2,,0,23,1,6,0,0,50,1,0,0,,2,,0,1,0,11
,Leek,3,4,0,2,14,2,3,1,,1,4,4,3,12,0,3,5,0,2,3,,,271,54,8,1,5,0,19,3,,22,0,,0,3,5,99,1,4,1,9,,159,7,22,8,0,0,,2,20,1,1,3,16,6,3,1,0,,4,,0,2,0,38
,Leeuwarden,10,49,53,6,37,1,5,77,,2,6,10,49,14,71,3,47,47,114,96,,,514,11,14,76,273,26,19,30,16,,159,,96,9,6,5,151,3,30,19,,43,9,43,80,4,3,,4,232,11,325,41,26,355,6,3,14,,14,,54,9,9,18
,Leeuwarderadeel,0,2,2,0,0,0,0,28,,1,0,1,1,0,5,0,0,18,8,4,,,21,0,1,8,17,1,0,1,1,201,,,3,0,0,0,20,0,0,0,,2,1,1,7,0,0,,0,10,0,12,6,1,11,0,0,0,,0,,3,0,0,1
,Lemsterland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Littenseradiel,0,1,2,0,0,0,0,3,,0,0,0,2,0,5,0,0,0,23,9,,,33,0,0,5,24,0,0,1,0,94,1,,,0,0,0,21,0,1,0,,0,0,2,10,0,0,,0,7,0,114,1,0,12,0,0,2,,4,,3,1,0,1
,Loppersum,2,0,1,66,11,15,0,0,,19,4,1,0,26,0,43,6,0,0,0,,,137,0,4,0,1,1,5,0,3,3,0,,0,,5,0,0,2,0,0,,10,8,1,0,1,0,,7,0,3,2,0,11,1,0,3,0,,0,,0,6,0,4
,De Marne,1,1,0,5,4,14,0,0,,1,1,0,3,4,7,29,10,2,1,0,,,111,2,3,2,0,2,7,3,3,11,0,,0,6,,1,0,0,0,3,,4,4,7,2,1,0,,2,3,1,2,0,4,0,1,0,2,,0,,1,73,0,21
,Marum,1,8,0,3,7,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,,,95,60,3,0,6,0,3,1,84,8,0,,0,0,1,,0,0,0,1,,26,3,8,15,0,0,,0,48,2,1,2,3,1,2,1,0,,0,,0,0,0,14
,Menameradiel,0,1,3,0,0,0,5,52,,3,0,0,9,0,1,0,2,2,41,4,,,28,0,0,7,5,0,0,1,0,186,24,,19,0,0,1,,0,0,3,,0,1,2,8,0,1,,2,10,0,18,1,0,21,2,0,0,,1,,5,0,2,0
,Menterwolde,11,0,1,4,6,2,11,0,,7,3,4,0,7,0,0,7,4,0,1,,,102,0,1,0,0,1,44,0,5,5,0,,0,0,1,1,1,,0,0,,6,45,3,0,12,0,,27,0,5,2,0,6,1,131,4,0,,0,,0,3,0,5
,Meppel,5,0,0,0,14,0,0,0,,0,0,5,0,3,1,0,25,0,3,3,,,98,0,3,1,20,44,0,0,1,23,0,,1,0,1,0,0,1,,18,,1,0,6,2,1,0,,0,2,2,7,3,2,0,0,2,0,,91,,8,0,127,0
,Midden-Drenthe,22,4,2,1,233,0,0,0,,1,10,37,3,0,1,0,47,0,4,4,,,169,3,5,0,2,103,4,3,11,21,0,,0,2,0,1,0,2,12,,,18,2,34,1,0,0,,4,10,6,4,0,17,10,4,2,0,,44,,5,5,25,0
,Midden-Groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noordenveld,28,5,1,4,108,4,5,0,,6,11,8,0,4,3,1,11,0,5,1,,,357,11,25,0,4,5,14,1,109,31,2,,1,1,2,12,0,2,2,28,,,8,30,9,2,2,,7,16,14,1,0,63,5,15,5,0,,7,,3,4,4,18
,Oldambt,20,1,1,17,23,2,113,1,,1,7,11,0,53,0,7,29,1,0,2,,,253,3,8,1,2,11,52,4,15,16,0,,0,10,6,2,1,25,4,5,,7,,4,2,123,1,,22,6,50,3,1,14,1,82,34,1,,0,,1,10,2,4
,Ooststellingwerf,2,9,0,1,57,3,1,3,,0,7,5,1,3,2,1,11,1,0,13,,,163,0,2,1,56,10,3,4,15,67,1,,0,3,3,19,0,1,5,29,,21,1,,48,4,2,,1,74,2,12,3,4,9,1,0,0,,29,,71,6,6,4
,Opsterland,1,22,1,5,5,0,0,2,,1,2,1,6,2,6,0,1,0,4,41,,,129,4,6,3,168,7,5,2,8,68,4,,4,0,2,14,1,1,5,2,,14,5,78,,1,0,,0,261,0,25,1,2,23,1,1,2,,7,,26,0,0,4
,Pekela,6,0,0,4,12,7,60,0,,0,11,1,0,15,0,0,8,0,0,5,,,92,0,1,0,2,1,16,0,3,6,0,,0,1,13,1,0,13,0,0,,4,181,2,1,,0,,2,6,62,1,0,4,0,63,21,1,,0,,0,0,0,2
,Schiermonnikoog,0,0,0,0,0,0,0,0,,0,0,0,1,0,6,5,1,1,0,0,,,17,0,1,0,0,0,1,2,1,5,0,,0,0,0,0,0,0,0,0,,0,0,1,0,0,,,1,4,0,0,1,1,2,0,0,0,,0,,0,1,1,0
,Skarsterlân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slochteren,11,0,1,21,6,6,2,0,,13,8,0,0,22,1,4,2,0,0,3,,,187,3,14,0,0,3,109,1,1,5,0,,0,6,2,0,0,24,0,1,,4,19,1,3,4,1,,,3,2,5,1,10,1,17,1,0,,1,,0,0,2,7
,Smallingerland,17,111,5,1,30,0,1,12,,0,4,8,31,3,29,1,22,14,15,45,,,282,29,1,13,102,34,6,21,17,234,9,,11,0,5,12,4,4,19,5,,26,13,70,273,0,1,,3,,0,41,2,12,149,4,2,3,,6,,24,0,16,11
,Stadskanaal,41,0,0,1,41,2,13,0,,1,176,12,0,12,0,3,85,0,1,9,,,211,1,11,1,4,7,28,0,6,15,0,,0,0,3,5,0,15,1,1,,12,38,3,0,82,2,,3,8,,6,1,11,6,63,109,0,,5,,0,6,5,3
,Súdwest-Fryslân,1,16,1,0,8,2,1,16,,0,10,2,7,0,7,0,6,5,85,234,,,276,1,0,74,93,5,0,6,2,373,10,,88,1,1,0,14,2,9,4,,3,6,24,21,0,0,,0,76,5,,27,5,27,1,0,8,,9,,29,0,3,5
,Terschelling,0,2,0,0,3,0,0,1,,0,2,0,0,1,1,0,2,1,5,11,,,23,0,1,19,5,0,1,0,0,48,1,,2,1,0,0,1,1,2,0,,0,3,3,0,0,1,,3,6,2,19,,2,4,0,0,1,,0,,0,2,0,1
,Tynaarlo,96,3,1,2,119,0,6,0,,2,10,5,0,11,1,7,31,0,6,6,,,535,0,108,0,5,6,33,1,13,33,0,,0,3,2,2,0,6,3,30,,90,8,7,1,5,1,,8,14,11,3,1,,1,14,2,0,,3,,1,5,2,8
,Tytsjerksteradiel,0,112,2,1,0,4,0,2,,0,0,3,107,0,39,8,8,4,26,20,,,73,0,0,7,27,5,2,17,12,309,15,,14,0,6,2,8,0,3,9,,3,0,21,33,0,2,,0,135,0,31,3,5,,0,2,3,,6,,5,2,4,5
,Veendam,24,2,0,5,43,3,19,0,,1,11,4,0,24,0,1,16,0,0,2,,,226,3,12,0,1,12,59,0,4,15,0,,0,3,5,1,1,132,2,10,,14,65,1,1,73,0,,16,4,53,2,0,14,0,,7,0,,0,,0,1,0,1
,Vlagtwedde,20,2,0,1,8,1,39,31,,0,30,16,0,12,3,0,84,2,0,4,,,83,1,9,1,2,7,7,0,0,8,0,,0,1,1,2,1,3,1,3,,5,29,6,0,30,0,,0,26,103,1,0,5,0,21,,0,,14,,0,4,0,4
,Vlieland,2,0,0,0,0,0,0,1,,0,1,0,3,0,2,0,1,0,8,2,,,10,0,0,9,4,0,0,0,0,19,0,,0,0,0,0,0,0,0,0,,0,0,5,0,0,0,,0,2,0,7,2,4,1,0,0,,,0,,1,2,0,0
