https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81734NED/table?ts=1577105596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 tussen gemeenten verhuisde personen,regio van vestiging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gemeentes,Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
,Leeuwarden,8,69,43,3,33,3,7,47,157,2,4,13,61,9,82,6,34,27,129,,,21,362,2,9,61,135,26,14,38,13,,146,21,64,3,6,1,119,3,22,13,,18,16,35,80,4,0,34,1,204,8,220,26,38,309,7,11,14,,12,,30,12,12,9
,Leeuwarderadeel,0,0,4,0,1,1,0,15,11,0,0,0,6,0,8,0,5,24,11,,,0,35,4,1,4,10,0,0,5,0,177,,1,3,0,0,0,13,0,0,0,,3,0,1,2,0,0,2,0,4,0,10,0,0,14,0,0,1,,0,,0,2,0,0
,Lemsterland,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2,0,1,,,25,39,0,0,0,34,1,3,0,0,26,1,,0,0,0,0,0,0,1,0,,2,1,0,11,0,0,38,0,4,0,47,0,4,2,0,0,0,,0,,14,0,0,4
,Littenseradiel,0,1,0,1,1,1,0,4,20,0,0,0,0,1,0,0,0,4,26,,,0,40,0,0,5,10,0,0,1,0,71,3,0,,0,0,0,18,0,0,0,,0,2,3,7,0,0,15,0,6,0,126,2,0,2,0,0,1,,0,,0,0,1,1
,Loppersum,0,0,1,45,8,18,1,0,0,20,6,2,1,51,0,45,1,0,0,,,0,109,0,2,1,0,1,1,0,1,5,0,0,0,,3,1,5,1,1,4,,3,6,2,0,1,0,0,9,4,4,2,0,9,1,2,0,0,,0,,0,18,0,6
,De Marne,8,4,1,3,3,6,0,0,0,2,0,0,0,11,16,27,0,1,0,,,1,76,0,5,6,4,0,8,3,2,11,1,0,0,5,,1,0,1,0,0,,3,2,0,1,1,0,0,4,0,0,1,0,1,3,2,1,0,,0,,0,51,1,18
,Marum,1,19,0,0,10,0,0,0,0,0,2,0,0,0,0,0,5,0,1,,,1,73,45,0,0,4,1,6,5,65,6,0,0,0,0,1,,0,2,1,1,,29,7,9,18,0,0,0,1,32,2,2,1,7,7,1,1,0,,0,,0,0,1,9
,Menameradiel,1,10,0,0,0,0,0,54,5,0,0,1,1,0,3,0,2,6,43,,,0,25,0,0,20,2,0,1,3,0,170,13,6,9,1,0,0,,0,0,0,,2,0,4,5,0,0,1,0,14,0,20,6,0,8,1,0,0,,0,,1,1,0,1
,Menterwolde,7,0,1,6,3,2,4,0,0,7,12,0,0,7,0,2,7,0,0,,,0,77,4,2,0,1,1,62,1,1,5,0,0,0,0,1,0,0,,1,2,,2,46,0,0,13,0,0,14,0,9,1,0,5,0,94,12,0,,1,,1,0,0,2
,Meppel,3,1,0,0,31,0,0,0,2,0,6,4,0,0,0,0,20,2,0,,,0,98,0,0,0,6,47,0,0,2,21,0,1,0,1,0,1,0,1,,15,,0,3,3,0,0,1,1,2,0,0,6,1,2,1,2,2,0,,63,,3,0,139,0
